[header]
width=20
height=15
tilewidth=32
tileheight=32
orientation=orthogonal

[tilesets]
tileset=,32,32,0,0

[layer]
type=Kachelebene 1
data=
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,
1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,
1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1

